scenario_name,dgp_name,learner_name,n_obs,n_covariates,n_folds,mean_fold_ratio,bias,mae,rmse,coverage,ci_length,se_ratio,non_convergence_rate,mean_condition_number,rank_deficiency_rate,mean_nuisance_r2_y,mean_nuisance_r2_d
weak_signal_sparse_n1000_p25_k10_lasso,weak_signal_sparse,lasso,1000,25,10,0.0277777777777777,0.0002147431629116,0.0112365855099613,0.0140960372674244,1.0,0.1212110925633585,2.081281943602658,0.0,1.878484494029696,0.0,0.0924492945604793,0.0513247226391543
sparse_linear_correlated_n1000_p100_k10_elastic_net,sparse_linear_correlated,elastic_net,1000,100,10,0.1111111111111111,0.0056280010481472,0.0128862462333864,0.0158989361405736,1.0,0.1212413164890855,1.9732845566249504,0.0,17.10386836153878,0.0,0.7098441554983087,0.718120916945362
sparse_linear_independent_n1000_p25_k2_lasso,sparse_linear_independent,lasso,1000,25,2,0.05,0.0070748333628881,0.0146598307483027,0.0172766815477232,1.0,0.1250600461703734,1.9202216069557527,0.0,2.2854273149091293,0.0,0.6878205740819334,0.5970835199996017
sparse_linear_correlated_n1000_p100_k5_ols,sparse_linear_correlated,ols,1000,100,5,0.125,0.00860271950023,0.0153270035449603,0.0182987814148302,1.0,0.1239107351329807,1.8567702780319,0.0,18.360664920126247,0.0,0.6934440494487816,0.7051101337392246
dense_linear_independent_n1000_p25_k10_ols,dense_linear_independent,ols,1000,25,10,0.0277777777777777,-0.0078191795165782,0.015536525479573,0.019386117279992,1.0,0.1263794163974995,1.7241521962353488,0.0,1.8735247857728476,0.0,0.6920912261458679,0.5981747873963127
dense_linear_independent_n1000_p25_k5_elastic_net,dense_linear_independent,elastic_net,1000,25,5,0.03125,0.007517384338377,0.0158198231035191,0.0198629522600688,1.0,0.1214123748483499,1.598170882166756,0.0,1.9141775006631727,0.0,0.6950695739416515,0.6036358653653975
dense_linear_independent_n1000_p100_k5_ols,dense_linear_independent,ols,1000,100,5,0.125,0.0076652350273052,0.0165657604007317,0.0226502842649592,1.0,0.1227138681906963,1.3933725187535313,0.0,4.2105562740838405,0.0,0.6616029817091439,0.5613173227223515
sparse_linear_correlated_n1000_p25_k2_ols,sparse_linear_correlated,ols,1000,25,2,0.05,-0.0034544919509195,0.0166293296213714,0.0205247918422386,1.0,0.1220976273577957,1.4605073037548597,0.0,11.83198980685362,0.0,0.7240610525783567,0.728522762722714
dense_linear_independent_n1000_p50_k10_lasso,dense_linear_independent,lasso,1000,50,10,0.0555555555555554,0.0017074078666453,0.0173316379385291,0.0236531213371358,1.0,0.1247876284706941,1.2801259773052576,0.0,2.4805624328970346,0.0,0.6886798339583572,0.5965378912474677
dense_linear_independent_n1000_p150_k10_elastic_net,dense_linear_independent,elastic_net,1000,150,10,0.1666666666666665,0.0119076517044751,0.0181073598436735,0.0219181468238475,1.0,0.1207952745751065,1.5886686482804309,0.0,5.453493950151236,0.0,0.6482121804236296,0.538042907963522
sparse_linear_correlated_n1000_p25_k5_elastic_net,sparse_linear_correlated,elastic_net,1000,25,5,0.03125,0.0032098698506113,0.0187114622674874,0.0209554381775017,1.0,0.1231010704623739,1.438652461507673,0.0,10.821523065455962,0.0,0.7210208408490331,0.7321056248443173
weak_signal_sparse_n1000_p25_k2_elastic_net,weak_signal_sparse,elastic_net,1000,25,2,0.05,-0.000315470687977,0.0188314938414526,0.0263474842668742,1.0,0.126875813665353,1.165483172823688,0.0,2.299842729774744,0.0,0.095813035954239,0.0597064399979503
