n_folds,mean_bias,mean_mae,mean_rmse,mean_coverage,mean_ci_length,mean_se_ratio,mean_non_convergence_rate,mean_nuisance_r2_y,mean_nuisance_r2_d,mean_fold_ratio,n_scenarios
2,0.022387502203041386,0.08031924183399908,0.09186912270419012,0.6819999999999999,0.18585389674904365,0.8946897103549003,0.0,0.21844524472539228,0.14861563662946112,0.5833333333333333,300
5,0.01778031968591476,0.07074026507609375,0.08143251089521619,0.7323333333333333,0.1850081573399056,0.963383626593473,0.0,0.3291883258122274,0.26467226075924605,0.3645833333333333,300
10,0.016284806220654178,0.0712110959124679,0.08122329678033084,0.7263333333333334,0.1843162012447039,0.974840117989287,0.0,0.3318603027022463,0.2657076173384658,0.32407407407407407,300
