learner_name,mean_bias,mean_mae,mean_rmse,mean_coverage,mean_ci_length,mean_se_ratio,mean_non_convergence_rate,mean_nuisance_r2_y,mean_nuisance_r2_d,mean_fold_ratio,n_scenarios
elastic_net,0.0007278149900801459,0.054196879361943014,0.06608809140761587,0.8461111111111111,0.18649290855726058,0.8643034198668512,0.0,0.29151859410854897,0.2289390858865207,0.4239969135802469,180
lasso,0.005745475964424941,0.054252779489339015,0.0661996668568042,0.8577777777777779,0.18916075289937606,0.8656870202139605,0.0,0.3420644930398509,0.2982806909041859,0.4239969135802469,180
ols,0.0019568903087198958,0.05718060923612109,0.06940811755714088,0.8205555555555555,0.18188892055352537,0.821583344072657,0.0,0.1063069757370294,-0.006655736077144004,0.4239969135802469,180
gradient_boosting,-0.05020138442012639,0.06274921561604101,0.07450255286464941,0.7416666666666667,0.18885993857132136,0.982051152077053,0.0,0.44804605095126826,0.36448038391962,0.4239969135802469,180
random_forest,0.1358589166729186,0.14207152100082374,0.14800978861335157,0.3016666666666667,0.17889457164127193,1.187897488665579,0.0,0.2778870082297458,0.24661476657877243,0.4239969135802469,180
