dgp_name,n_obs,n_covariates,n_folds,mean_mae,mean_rmse,mean_coverage,mean_se_ratio,mean_nuisance_r2_y,mean_nuisance_r2_d,n_scenarios
dense_linear_independent,250,25,2,0.1775138580662555,0.1858198884868946,0.2,1.1683063540592835,0.3638563925335099,0.2840882327793458,1
dense_linear_independent,250,25,5,0.2043374532459794,0.2068956570730568,0.0,1.842985429601388,0.4205422130805981,0.3497910612019185,1
dense_linear_independent,250,25,10,0.1430689296958085,0.1536222793017431,0.3,1.0982484629704867,0.4334994065969173,0.3203750759606711,1
dense_linear_independent,250,50,2,0.1809291502689642,0.1907481885895911,0.3,0.9681494264191256,0.2904294275906808,0.2061069873669803,1
dense_linear_independent,250,50,5,0.1784126099064701,0.185250593365589,0.2,1.2068601439961053,0.3389328271612706,0.2360387008569039,1
dense_linear_independent,250,50,10,0.1732634730295331,0.1772001494333221,0.1,1.6400472369506989,0.3289841375138436,0.2565247301890382,1
dense_linear_independent,250,100,2,0.2272051536876155,0.2392288506253115,0.1,0.7914032936855238,0.2112643160128803,0.15636453016819,1
dense_linear_independent,250,100,5,0.2027776713129999,0.2058230379665282,0.0,1.622758240151594,0.2577334783467845,0.1868756035461993,1
dense_linear_independent,250,100,10,0.2220376814650461,0.2317677421576467,0.1,0.9459870668616632,0.2370195736875525,0.1650880650740168,1
dense_linear_independent,250,150,2,0.2325069697666185,0.2494011359371264,0.2,0.6987074655143396,0.165895488072082,0.1290154359897229,1
dense_linear_independent,250,150,5,0.2127117517445001,0.2261712972711622,0.2,0.7843612345197759,0.2092006608705972,0.1556827296458777,1
dense_linear_independent,250,150,10,0.2534444228232312,0.2562680255340256,0.0,1.5463244114636898,0.2014169509132546,0.1473770317864135,1
dense_linear_independent,250,300,2,0.2702357272916709,0.2728267092314036,0.0,1.6618017078201626,0.1230815524745001,0.0873811401439334,1
dense_linear_independent,250,300,5,0.2344577995253695,0.2411805490601681,0.0,1.0621307982592574,0.1508701517741769,0.0896319287821405,1
dense_linear_independent,250,300,10,0.2137599105125765,0.218508322807966,0.1,1.3376142383074363,0.1234331045994537,0.0882411454070445,1
dense_linear_independent,500,25,2,0.1220025961202631,0.1294580788562825,0.3,1.008325718332002,0.4681162420332684,0.3786444393655363,1
dense_linear_independent,500,25,5,0.1017337361051398,0.1105640013274308,0.4,1.0041202150421855,0.4929149623495127,0.4094415243352161,1
dense_linear_independent,500,25,10,0.0980340312768935,0.1085060646572094,0.6,0.9125173366220608,0.510569895974023,0.4030696376370254,1
dense_linear_independent,500,50,2,0.1728139258715472,0.1761994571561467,0.0,1.27160104385531,0.366407904280101,0.2794842778124493,1
