scenario_name,dgp_name,learner_name,n_obs,n_covariates,n_folds,mean_fold_ratio,coverage,coverage_gap,absolute_coverage_gap,se_ratio,mae,rmse
sparse_linear_independent_n500_p50_k5_random_forest,sparse_linear_independent,random_forest,500,50,5,0.125,0.0,-0.95,0.95,1.8263212175849957,0.1361501102873342,0.1383318590628086
sparse_linear_independent_n500_p50_k10_random_forest,sparse_linear_independent,random_forest,500,50,10,0.1111111111111111,0.0,-0.95,0.95,1.6424565916973064,0.1674879034522723,0.1696713973665707
sparse_linear_independent_n500_p100_k2_random_forest,sparse_linear_independent,random_forest,500,100,2,0.4,0.0,-0.95,0.95,0.9045057604706154,0.1913350709500157,0.1976583926524037
sparse_linear_independent_n500_p100_k5_random_forest,sparse_linear_independent,random_forest,500,100,5,0.25,0.0,-0.95,0.95,1.259395220508823,0.2047325488496499,0.2077814116226864
sparse_linear_independent_n500_p100_k10_random_forest,sparse_linear_independent,random_forest,500,100,10,0.2222222222222222,0.0,-0.95,0.95,0.9204046219397776,0.1905630850804765,0.1964705445654181
sparse_linear_independent_n500_p150_k2_random_forest,sparse_linear_independent,random_forest,500,150,2,0.5999999999999999,0.0,-0.95,0.95,0.8477504202895224,0.2468482697818761,0.2517549072996779
sparse_linear_independent_n500_p150_k5_random_forest,sparse_linear_independent,random_forest,500,150,5,0.375,0.0,-0.95,0.95,0.9398770184892546,0.2263321266070136,0.2310983007120012
sparse_linear_independent_n500_p150_k10_random_forest,sparse_linear_independent,random_forest,500,150,10,0.3333333333333333,0.0,-0.95,0.95,0.944216683444194,0.1959095019738979,0.2010602342138757
sparse_linear_independent_n500_p300_k2_random_forest,sparse_linear_independent,random_forest,500,300,2,1.1999999999999995,0.0,-0.95,0.95,0.8870368802345697,0.2558395724052003,0.26006516479103
sparse_linear_independent_n500_p300_k5_random_forest,sparse_linear_independent,random_forest,500,300,5,0.75,0.0,-0.95,0.95,0.8806226967575694,0.2373351296711987,0.2423391307731461
sparse_linear_independent_n500_p300_k10_random_forest,sparse_linear_independent,random_forest,500,300,10,0.6666666666666667,0.0,-0.95,0.95,1.0946757734410315,0.2439421660521477,0.246860951228953
sparse_linear_independent_n1000_p50_k2_random_forest,sparse_linear_independent,random_forest,1000,50,2,0.1,0.0,-0.95,0.95,1.167263161968983,0.1258260172598363,0.1285192651731625
sparse_linear_independent_n1000_p50_k5_random_forest,sparse_linear_independent,random_forest,1000,50,5,0.0625,0.0,-0.95,0.95,2.0104605034352985,0.1200054180435713,0.1210030439436317
sparse_linear_independent_n1000_p50_k10_random_forest,sparse_linear_independent,random_forest,1000,50,10,0.0555555555555554,0.0,-0.95,0.95,1.0085881634641285,0.1208127644475091,0.1246692621153752
sparse_linear_independent_n1000_p100_k2_random_forest,sparse_linear_independent,random_forest,1000,100,2,0.2,0.0,-0.95,0.95,0.8828041074866907,0.168729263958394,0.1723663020142002
sparse_linear_independent_n1000_p100_k5_random_forest,sparse_linear_independent,random_forest,1000,100,5,0.125,0.0,-0.95,0.95,1.0187446003714469,0.1763952534298512,0.1789836131890842
sparse_linear_independent_n1000_p100_k10_random_forest,sparse_linear_independent,random_forest,1000,100,10,0.1111111111111111,0.0,-0.95,0.95,1.2745926769659446,0.1653788854051212,0.1672114776177547
sparse_linear_independent_n1000_p150_k2_random_forest,sparse_linear_independent,random_forest,1000,150,2,0.2999999999999999,0.0,-0.95,0.95,1.549279942465454,0.2007043884642278,0.2016535605339761
sparse_linear_independent_n1000_p150_k5_random_forest,sparse_linear_independent,random_forest,1000,150,5,0.1875,0.0,-0.95,0.95,1.6295439464833252,0.1891896677049821,0.1901878127711629
