fold_ratio_bin,n_scenarios,mean_mae,mean_rmse,mean_coverage,mean_se_ratio,mean_non_convergence_rate
rho <= 0.25,480,0.0582107188441874,0.06668467402664714,0.7672916666666667,1.012675307598735,0.0
0.25 < rho <= 0.5,180,0.07605765038003974,0.08649084842705508,0.6972222222222222,0.9500835303436771,0.0
0.5 < rho <= 1.0,140,0.09446659058782193,0.1083517944140425,0.635,0.8237699503537083,0.0
rho > 1.0,100,0.11824336050856042,0.1361123164629466,0.595,0.7744706032252432,0.0
