estimator,theta_hat,se,ci_lower,ci_upper
OLS,9617.48011406009,1282.3118939221172,7104.14880197274,12130.81142614744
DML-LASSO,9959.187453331606,1338.308127753639,7336.103522934473,12582.271383728737
DML-Elastic Net,9615.07098245266,1484.819142774511,6704.825462614619,12525.316502290701
