scenario_id,scenario_name,n,p,n_obs,n_covariates,n_folds,dgp_name,learner_name,n_rep,matched_specification,bias,median_bias,mae,rmse,coverage,ci_length,mean_ci_length,empirical_sd,mean_se,se_ratio,variance_ratio,non_convergence_rate,n_replications_total,n_replications_success,n_replications_failed,t_stat_mean,t_stat_sd,mean_fold_train_size,mean_fold_test_size,mean_fold_ratio,max_fold_ratio,mean_condition_number,max_condition_number,mean_min_eigenvalue,min_min_eigenvalue,rank_deficiency_rate,mean_nuisance_mse_y,mean_nuisance_mse_d,mean_nuisance_r2_y,mean_nuisance_r2_d
0,linear_confounding_n250_p25_k2_ols,250,25,250,25,2,linear_confounding,ols,10,True,0.03935560375092258,0.060427858228901954,0.06671380040247321,0.07119437163892715,0.9,0.2485984478073568,0.2485984478073568,0.06253687806639503,0.0634179713794277,1.014089179701251,0.9861065673677716,0.0,10,10,0,0.6301844998326296,1.0203953042273974,125.0,125.0,0.2,0.2,6.069362720509109,7.578870581088644,0.3345056296954006,0.2822927882275299,0.0,2.7252316326045665,1.2899571818119941,0.6142754480367966,0.5071755693057136
20,linear_confounding_n250_p25_k5_ols,250,25,250,25,5,linear_confounding,ols,10,True,-0.035466130892327544,-0.0529492299656622,0.066354586539145,0.07811103802016674,0.9,0.2429091443398356,0.2429091443398356,0.07335975145447583,0.06196661845403967,0.8446950436097607,1.1838592016907683,0.0,10,10,0,-0.583882908017012,1.1718087475594197,200.0,50.0,0.125,0.125,3.826925927669069,4.64666391332914,0.46095105182802565,0.3804551898131162,0.0,2.220780984979404,1.1532377224325496,0.6527106496064935,0.5254642542048238
40,linear_confounding_n250_p25_k10_ols,250,25,250,25,10,linear_confounding,ols,10,True,0.006846055398740281,0.017852934254528607,0.046189511086956236,0.051120346364273414,1.0,0.2387101548480363,0.2387101548480363,0.05340018037714709,0.060895447665315364,1.1403603365238053,0.876915802813986,0.0,10,10,0,0.11455646168581404,0.8561131142967904,225.0,25.0,0.11111111111111112,0.1111111111111111,3.5894332314730226,4.258602242024146,0.4765999678727071,0.4045417017964212,0.0,2.261516057613762,1.1562964604891657,0.630146723345318,0.4882150388085936
60,linear_confounding_n250_p50_k2_ols,250,50,250,50,2,linear_confounding,ols,10,True,-0.015718035251383954,-0.037390286724545196,0.07175408649675433,0.07852915877788662,1.0,0.24969963457972497,0.24969963457972497,0.0811019396000338,0.06369888637237879,0.7854175459492,1.273208123701223,0.0,10,10,0,-0.22305568071421583,1.3088143467904958,125.0,125.0,0.4,0.4,17.313666356146776,26.16957990965303,0.15071043898827077,0.1022471424883692,0.0,3.2127117354855215,1.6260291953211883,0.5231919038023722,0.34989958990297726
80,linear_confounding_n250_p50_k5_ols,250,50,250,50,5,linear_confounding,ols,10,True,0.022512532983577416,0.020063977356924223,0.07288895489543136,0.09509075745886747,0.8,0.2580099867147523,0.2580099867147523,0.09738490650086785,0.06581887416192657,0.6758631961241347,1.4795893691721773,0.0,10,10,0,0.36131800241078044,1.4835496415299037,200.0,50.0,0.25,0.25,8.105600207170921,11.056596019773572,0.26968748400168535,0.2055813609923575,0.0,2.723584048639071,1.3026980708193858,0.5758926522916703,0.46285093770783003
100,linear_confounding_n250_p50_k10_ols,250,50,250,50,10,linear_confounding,ols,10,True,-0.00638962833122847,0.01641087277665454,0.05441053134262728,0.06702478723483313,0.9,0.23944608362110512,0.23944608362110512,0.0703285523940898,0.06108318459722066,0.8685403370019301,1.1513570036963956,0.0,10,10,0,-0.10449818754868563,1.093641992353811,225.0,25.0,0.22222222222222224,0.2222222222222222,7.063817733982783,8.247709163878943,0.2954062665924544,0.24778459967423,0.0,2.5084361002157403,1.3036439680169942,0.584736290534051,0.4235246859874052
120,linear_confounding_n250_p100_k2_ols,250,100,250,100,2,linear_confounding,ols,10,True,-0.0021674978945236513,0.042658528623536585,0.1129064915835821,0.12498470402672233,0.4,0.24943816219572282,0.24943816219572282,0.13172563318219266,0.0636321842336027,0.48306607223205833,2.0701101929584773,0.0,10,10,0,-0.1790467762345914,2.2588231640943133,125.0,125.0,0.8,0.8,269.9662565198414,414.66750425680544,0.01375150571360137,0.0075366295221051,0.0,11.448126766642964,5.981496218982964,-0.7349519063190312,-1.4096726470427536
140,linear_confounding_n250_p100_k5_ols,250,100,250,100,5,linear_confounding,ols,10,True,-0.03468888303294374,-0.028880664163414727,0.06661321340078662,0.08330097245634276,0.7,0.22593819722645603,0.22593819722645603,0.07983130412243002,0.05763729521083057,0.7219886464893207,1.3850633314838303,0.0,10,10,0,-0.6323119593350421,1.342642257360069,200.0,50.0,0.5,0.5,30.58738924088872,39.66985820394828,0.09425624363649576,0.0729704066842584,0.0,3.8556882552001723,2.141078348078575,0.4017281885532674,0.13155145247109018
160,linear_confounding_n250_p100_k10_ols,250,100,250,100,10,linear_confounding,ols,10,True,-0.01824964343143861,0.0048782146702800455,0.048540994710527786,0.06413247809502157,0.9,0.2613519619813024,0.2613519619813024,0.06480676628968932,0.06667141887278119,1.0287724984572875,0.9720322048845262,0.0,10,10,0,-0.2884997537803806,1.05027910256441,225.0,25.0,0.4444444444444445,0.4444444444444444,22.37459379386518,27.30683407566544,0.12032316854334238,0.1008283601462085,0.0,3.541455966593735,1.7234658709587556,0.36954910175669375,0.21200672660223527
180,linear_confounding_n250_p150_k2_ols,250,150,250,150,2,linear_confounding,ols,10,True,0.008941215599984575,0.005400774718213985,0.11636068719249862,0.14806649832697802,0.6,0.2634864777200353,0.2634864777200353,0.1557909660424919,0.06721593819388653,0.43144952432962913,2.317768229212361,0.0,10,10,0,0.07651507806932747,2.5303103772317375,125.0,125.0,1.1999999999999997,1.2,8.680830158517409e+17,6.094804922033959e+18,-8.53821606301715e-16,-9.833561695639194e-16,0.0,13.63437781181456,6.491194109045274,-1.015149661690743,-1.596200360922452
