dgp_name,p,covariance_structure,beta_r_formula,beta_g_formula,active_dimension,beta_r_norm,beta_g_norm,var_r0,var_g0,var_v,var_u,var_d,var_r0_over_var_v,var_g0_over_var_u,var_r0_over_var_d
dense_linear_independent,25,independent standard normal,"1 / j for j = 1, ..., p","(-1)^(j + 1) / j for j = 1, ..., p",25,1.2671714183925555,1.2671714183925555,1.605723403591001,1.605723403591001,1.0,1.0,2.605723403591001,1.605723403591001,1.605723403591001,0.6162294130597747
dense_linear_independent,50,independent standard normal,"1 / j for j = 1, ..., p","(-1)^(j + 1) / j for j = 1, ..., p",50,1.2748069397448107,1.2748069397448107,1.6251327336215295,1.6251327336215295,1.0,1.0,2.6251327336215295,1.6251327336215295,1.6251327336215295,0.6190668810028362
dense_linear_independent,100,independent standard normal,"1 / j for j = 1, ..., p","(-1)^(j + 1) / j for j = 1, ..., p",100,1.2786648897130528,1.2786648897130528,1.6349839001848934,1.6349839001848934,1.0,1.0,2.6349839001848934,1.6349839001848934,1.6349839001848934,0.6204910398390551
dense_linear_independent,150,independent standard normal,"1 / j for j = 1, ..., p","(-1)^(j + 1) / j for j = 1, ..., p",150,1.279956863734675,1.279956863734675,1.6382895730215052,1.6382895730215052,1.0,1.0,2.6382895730215052,1.6382895730215052,1.6382895730215052,0.6209665496063238
dense_linear_independent,300,independent standard normal,"1 / j for j = 1, ..., p","(-1)^(j + 1) / j for j = 1, ..., p",300,1.2812518421050654,1.2812518421050654,1.6416062828976232,1.6416062828976232,1.0,1.0,2.641606282897623,1.6416062828976232,1.6416062828976232,0.6214424509533333
sparse_linear_independent,25,independent standard normal,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,1.549767731166541,1.549767731166541,1.0,1.0,2.5497677311665408,1.549767731166541,1.549767731166541,0.6078074140727747
sparse_linear_independent,50,independent standard normal,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,1.549767731166541,1.549767731166541,1.0,1.0,2.5497677311665408,1.549767731166541,1.549767731166541,0.6078074140727747
sparse_linear_independent,100,independent standard normal,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,1.549767731166541,1.549767731166541,1.0,1.0,2.5497677311665408,1.549767731166541,1.549767731166541,0.6078074140727747
sparse_linear_independent,150,independent standard normal,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,1.549767731166541,1.549767731166541,1.0,1.0,2.5497677311665408,1.549767731166541,1.549767731166541,0.6078074140727747
sparse_linear_independent,300,independent standard normal,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,1.549767731166541,1.549767731166541,1.0,1.0,2.5497677311665408,1.549767731166541,1.549767731166541,0.6078074140727747
sparse_linear_correlated,25,AR(1) Gaussian with rho = 0.5,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,2.9807134983623076,0.8827687232300326,1.0,1.0,3.9807134983623076,2.9807134983623076,0.8827687232300326,0.748788753470601
sparse_linear_correlated,50,AR(1) Gaussian with rho = 0.5,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,2.9807134983623076,0.8827687232300326,1.0,1.0,3.9807134983623076,2.9807134983623076,0.8827687232300326,0.748788753470601
sparse_linear_correlated,100,AR(1) Gaussian with rho = 0.5,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,2.9807134983623076,0.8827687232300326,1.0,1.0,3.9807134983623076,2.9807134983623076,0.8827687232300326,0.748788753470601
sparse_linear_correlated,150,AR(1) Gaussian with rho = 0.5,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,2.9807134983623076,0.8827687232300326,1.0,1.0,3.9807134983623076,2.9807134983623076,0.8827687232300326,0.748788753470601
sparse_linear_correlated,300,AR(1) Gaussian with rho = 0.5,"1 / j for j = 1, ..., min(10, p); zero otherwise","(-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,1.2448966748957686,1.2448966748957686,2.9807134983623076,0.8827687232300326,1.0,1.0,3.9807134983623076,2.9807134983623076,0.8827687232300326,0.748788753470601
weak_signal_sparse,25,independent standard normal,"0.25 / j for j = 1, ..., min(10, p); zero otherwise","0.25 * (-1)^(j + 1) / j for j = 1, ..., min(10, p); zero otherwise",10,0.31122416872394215,0.31122416872394215,0.09686048319790881,0.09686048319790881,1.0,1.0,1.0968604831979087,0.09686048319790881,0.09686048319790881,0.08830702234390923
