dgp_name,n,p,ols,lasso,elastic_net
linear_baseline,200,100,0.0287020656844536,0.0258363314773306,0.0476942579262674
linear_baseline,200,150,0.0308433707996645,0.0252990918941072,0.0547288360279583
linear_baseline,300,100,0.0009004922595301,0.0205013677775927,0.0345084377319426
linear_baseline,300,150,0.0278623603432167,0.023597932847524,0.0391645911937199
linear_baseline,400,100,0.0021646816008274,0.0181721908920535,0.0297011832362071
linear_baseline,400,150,0.0026885594299266,0.019745850289683,0.0327176782901174
linear_sparse_correlated,200,100,0.023451119130637,0.007545321080456,0.0389040841593807
linear_sparse_correlated,200,150,0.029170989945126,0.0189377617845319,0.041267433192839
linear_sparse_correlated,300,100,0.003255918657685,0.0123383624945459,0.0308969070394347
linear_sparse_correlated,300,150,0.0026310109032627,0.0083231768704108,0.032865628075751
linear_sparse_correlated,400,100,0.0043007048810147,0.0081660877788574,0.024135963778748
linear_sparse_correlated,400,150,0.0011387385190053,0.0094563497428699,0.030658862094535
