dgp_name,n,p,learner_name,n_rep_raw,rmse_aggregated,rmse_recomputed,rmse_diff,bias_aggregated,mean_theta_hat,sd_theta_hat,min_theta_hat,max_theta_hat,q01,q05,q25,q50,q75,q95,q99,t_stat_sd_aggregated,mean_se_aggregated,variance_ratio_aggregated,abs_err_gt_1,abs_err_gt_2,abs_err_gt_5,abs_err_gt_10
linear_baseline,200,100,ols,1000,0.7863083865966541,0.7863083865966541,0.0,-0.0287020656844536,0.9712979343155465,0.7861775533574346,-3.6858245352682335,5.970394887717122,-0.982536249332087,-0.1495413693845374,0.6025275098378229,0.9848525735715626,1.3409311172171854,2.1212243414077747,2.9344256187426363,24.53307436350539,0.0812420865282166,9.676973930062506,127,20,0,0
linear_baseline,200,100,lasso,1000,0.0852559320225234,0.0852559320225234,0.0,0.0258363314773306,1.0258363314773304,0.0812875487784509,0.7810859708271225,1.2946447493168425,0.83832766431452,0.8914947139335292,0.971657922495886,1.0234677951031919,1.0829136389998757,1.1589844662802247,1.2006974010526545,1.1959109732579063,0.0689765982171964,1.1784801059989825,0,0,0,0
linear_baseline,200,100,elastic_net,1000,0.0913105523465326,0.09131055234653265,5.551115123125783e-17,0.0476942579262674,1.0476942579262678,0.07790342530573299,0.8019993869490124,1.2797135381325402,0.8601009889131173,0.9159120089376149,0.9975753063812072,1.0522177615805757,1.09785982245801,1.178333361692437,1.2179959766364465,1.1413582038557202,0.068276483070022,1.140999386653204,0,0,0,0
linear_baseline,300,150,ols,1000,0.7678608822548512,0.7678608822548512,0.0,-0.0278623603432167,0.9721376396567832,0.7677391789013527,-3.907467346876472,7.463442010805967,-1.1355012994298357,-0.18009196593425622,0.6139455879009674,0.973541553206027,1.3516105207369513,2.012904273160835,2.9652384778622496,28.516627409145904,0.0624987458676655,12.284073356079148,123,19,2,0
linear_baseline,300,150,lasso,1000,0.0663219738799445,0.06632197387994455,5.551115123125783e-17,0.023597932847524,1.023597932847524,0.06201280006601719,0.847334252673273,1.210988857299564,0.886731880469381,0.9219518608077363,0.9810699795835267,1.0227070596595405,1.0666513013618997,1.1285915765389578,1.1604442061073694,1.1103141673747576,0.0563310045141641,1.1008644458030996,0,0,0,0
linear_baseline,300,150,elastic_net,1000,0.0737436526745954,0.07374365267459544,4.163336342344337e-17,0.0391645911937199,1.0391645911937197,0.06251535232001702,0.824564915799235,1.2101502681812537,0.8958791901399491,0.9364375965965153,0.9972160976368873,1.0411291102826736,1.0821966997842805,1.1378613195464555,1.1806794163571614,1.1149607369840009,0.0560936339854524,1.1144821235192226,0,0,0,0
linear_sparse_correlated,200,100,ols,1000,0.7439019061714705,0.7439019061714705,0.0,0.023451119130637,1.0234511191306372,0.743904217289813,-4.035475838821375,4.0911582798978,-0.9007063390269279,-0.14971014908383687,0.6528969082636978,1.0109603139548797,1.4300843586241359,2.206639731739454,3.2330246164406384,31.757149293743822,0.073817916881741,10.077556353717956,141,22,1,0
linear_sparse_correlated,200,100,lasso,1000,0.0738341398894861,0.07383413988948614,4.163336342344337e-17,0.007545321080456,1.007545321080456,0.07348434044954298,0.7816993272138247,1.3119493306909733,0.8389848379224837,0.8861523669430582,0.9580981999675247,1.0097549016303395,1.0544830402201792,1.1309210078932286,1.1875971046239648,1.0643480234500815,0.0693937652468292,1.0589473015070423,0,0,0,0
linear_sparse_correlated,200,100,elastic_net,1000,0.0889654864423037,0.08896548644230375,4.163336342344337e-17,0.0389040841593807,1.0389040841593808,0.08004834633761611,0.7562884798678577,1.3314694997099683,0.8578013047679492,0.9071367405355999,0.9862963955920945,1.0396576385463836,1.0928514150477107,1.1685388523320044,1.2227639304674842,1.1677545034846006,0.0687104609637984,1.1650095955518522,0,0,0,0
linear_sparse_correlated,300,150,ols,1000,0.7863441847500119,0.7863441847500119,0.0,0.0026310109032627,1.0026310109032628,0.7867332482332645,-3.0516746334864555,7.021294901367277,-1.4660756841070661,-0.08833363336261411,0.615975311982255,1.0200430601424126,1.3997876205226887,2.0336048278108425,3.01707060432115,32.494489477268,0.0643377805570209,12.228168914468588,114,27,2,0
linear_sparse_correlated,300,150,lasso,1000,0.0622666611139104,0.06226666111391047,6.938893903907228e-17,0.0083231768704108,1.0083231768704108,0.06173875190303878,0.805105541894803,1.2246109642323888,0.8638362289759721,0.8990596049061298,0.9673961257213048,1.0095332834743682,1.0501969209190993,1.1064223883167323,1.1391893322158877,1.093049051418579,0.0569485219802288,1.084115087736132,0,0,0,0
linear_sparse_correlated,300,150,elastic_net,1000,0.0704388541240554,0.07043885412405548,8.326672684688674e-17,0.032865628075751,1.0328656280757509,0.062332720376427495,0.8305846410568248,1.247070482510327,0.8851536470926038,0.9313697985735426,0.9892407561376678,1.0326889858550827,1.0737377940762514,1.135470606929489,1.1846789790223935,1.1132007071331742,0.0562225496835669,1.1086782923800145,0,0,0,0
